date,open,high,low,close,adj_close,volume,high_20,low_20,vol_sma20,atr14
2019-08-12,3.802,3.8545,3.7643,3.7863,3.7627,279200000,4.4722,3.7225,358108000.0,0.1364
2019-08-13,3.7847,3.9475,3.7455,3.9012,3.877,351956000,4.4722,3.7225,358633600.0,0.1411
2019-08-14,3.8125,3.8238,3.7078,3.7517,3.7284,419880000,4.4722,3.7078,362217400.0,0.1448
2019-08-15,3.7708,3.7908,3.6848,3.7192,3.6961,477200000,4.4722,3.6848,363967800.0,0.1421
2019-08-16,3.9838,4.0385,3.922,3.989,3.9642,1007960000,4.4722,3.6848,397121000.0,0.1547
2019-08-19,4.103,4.2855,4.0868,4.2695,4.2429,815112000,4.4722,3.6848,422079600.0,0.1648
2019-08-20,4.264,4.2645,4.1755,4.1968,4.1707,463188000,4.4722,3.6848,423830200.0,0.1598
2019-08-21,4.2632,4.3362,4.2415,4.2807,4.2541,427244000,4.4375,3.6848,426880600.0,0.1583
2019-08-22,4.2905,4.3333,4.2475,4.287,4.2603,303488000,4.4237,3.6848,422420000.0,0.1531
2019-08-23,4.21,4.2648,4.041,4.061,4.0357,568056000,4.3985,3.6848,437114800.0,0.1598
2019-08-26,4.1403,4.1645,4.0978,4.1363,4.1105,318208000,4.3985,3.6848,440617200.0,0.1558
2019-08-27,4.1747,4.1775,4.0155,4.045,4.0198,290968000,4.3555,3.6848,445277000.0,0.1562
2019-08-28,4.0145,4.0835,3.975,4.0305,4.0094,255612000,4.3362,3.6848,440086800.0,0.1528
2019-08-29,4.1225,4.2075,4.119,4.175,4.1531,357976000,4.3362,3.6848,436925000.0,0.1545
2019-08-30,4.2215,4.2715,4.1695,4.1877,4.1658,290616000,4.3362,3.6848,430038400.0,0.1508
2019-09-03,4.1145,4.1477,4.0813,4.1042,4.0828,296140000,4.3362,3.6848,415387600.0,0.1476
2019-09-04,4.1652,4.2265,4.1652,4.219,4.1969,227728000,4.3362,3.6848,408710400.0,0.1458
2019-09-05,4.3218,4.4998,4.32,4.4935,4.47,695676000,4.4998,3.6848,424866200.0,0.1554
2019-09-06,4.47,4.5272,4.428,4.4662,4.4429,376976000,4.5272,3.6848,428250000.0,0.1514
2019-09-09,4.4975,4.5995,4.496,4.5125,4.4889,417524000,4.5995,3.6848,432035400.0,0.1501
2019-09-10,4.4795,4.6062,4.4697,4.5795,4.5555,352812000,4.6062,3.6848,435716000.0,0.1492
2019-09-11,4.5943,4.6568,4.565,4.6083,4.5841,361512000,4.6568,3.6848,436193800.0,0.1451
2019-09-12,4.655,4.71,4.5988,4.6068,4.5826,327840000,4.71,3.6848,431591800.0,0.1426
2019-09-13,4.5398,4.577,4.5045,4.5485,4.5247,324592000,4.71,3.922,423961400.0,0.1398
2019-09-16,4.473,4.54,4.4625,4.5052,4.4817,231832000,4.71,3.975,385155000.0,0.1359
2019-09-17,4.512,4.531,4.4653,4.5268,4.5031,223048000,4.71,3.975,355551800.0,0.1309
2019-09-18,4.5198,4.5355,4.4125,4.4995,4.4759,258152000,4.71,3.975,345300000.0,0.1303
2019-09-19,4.5055,4.524,4.4127,4.4235,4.4003,245476000,4.71,3.975,336211600.0,0.129
2019-09-20,4.4225,4.4462,4.307,4.3172,4.2946,350244000,4.71,3.975,338549400.0,0.1297
2019-09-23,4.3175,4.4167,4.3137,4.371,4.3481,249712000,4.71,3.975,322632200.0,0.1278
2019-09-24,4.4025,4.4323,4.2775,4.3133,4.2907,317268000,4.71,3.975,322585200.0,0.1297
2019-09-25,4.3127,4.4755,4.2677,4.4557,4.4324,308432000,4.71,3.975,323458400.0,0.1353
2019-09-26,4.446,4.4548,4.3822,4.4335,4.4103,234564000,4.71,4.0813,322406000.0,0.1309
2019-09-27,4.3915,4.4425,4.233,4.294,4.2715,362056000,4.71,4.0813,322610000.0,0.1365
2019-09-30,4.32,4.362,4.2885,4.3517,4.329,186184000,4.71,4.0813,317388400.0,0.132
2019-10-01,4.375,4.525,4.3453,4.35,4.3272,366008000,4.71,4.1652,320881800.0,0.1354
2019-10-02,4.328,4.34,4.2533,4.326,4.3034,293372000,4.71,4.233,324164000.0,0.1326
2019-10-03,4.3305,4.539,4.3,4.5328,4.509,450588000,4.71,4.233,311909600.0,0.1402
2019-10-04,4.535,4.5788,4.4695,4.5493,4.5254,265524000,4.71,4.233,306337000.0,0.138
2019-10-07,4.6145,4.7085,4.6058,4.6083,4.5841,480984000,4.71,4.233,309510000.0,0.1395
2019-10-08,4.516,4.516,4.4125,4.4307,4.4076,444436000,4.71,4.233,314091200.0,0.1436
2019-10-09,4.508,4.5675,4.479,4.5177,4.4941,292412000,4.71,4.233,310636200.0,0.1431
2019-10-10,4.5155,4.627,4.5103,4.5757,4.5518,309124000,4.7085,4.233,309700400.0,0.1412
